Signature: CHMONYA
Quantity: 108


>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
  №  		Command		 Type 		AsmCode 		Error
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
 000		in       		cmd       		1         		0
 001		in       		cmd       		1         		0
 002		in       		cmd       		1         		0
 003		pop      		cmd       		65540     		0
 004		cx       		reg       		22        		0
 005		pop      		cmd       		65540     		0
 006		bx       		reg       		21        		0
 007		pop      		cmd       		65540     		0
 008		ax       		reg       		20        		0
 009		push     		cmd       		131075    		0
 010		0        		num       		0         		0
 011		push     		cmd       		65539     		0
 012		ax       		reg       		20        		0
 013		je       		jmp       		31        		0
 014		:LinSolver		flag      		72        		0
 015		push     		cmd       		131075    		0
 016		0        		num       		0         		0
 017		push     		cmd       		65539     		0
 018		bx       		reg       		21        		0
 019		push     		cmd       		65539     		0
 020		bx       		reg       		21        		0
 021		mul      		cmd       		7         		0
 022		push     		cmd       		131075    		0
 023		4        		num       		4         		0
 024		push     		cmd       		65539     		0
 025		cx       		reg       		22        		0
 026		push     		cmd       		65539     		0
 027		ax       		reg       		20        		0
 028		mul      		cmd       		7         		0
 029		mul      		cmd       		7         		0
 030		sub      		cmd       		6         		0
 031		pop      		cmd       		65540     		0
 032		dx       		reg       		23        		0
 033		push     		cmd       		65539     		0
 034		dx       		reg       		23        		0
 035		jl       		jmp       		35        		0
 036		:NoRoots 		flag      		86        		0
 037		push     		cmd       		65539     		0
 038		dx       		reg       		23        		0
 039		push     		cmd       		131075    		0
 040		0        		num       		0         		0
 041		je       		jmp       		31        		0
 042		:OneRoot 		flag      		97        		0
 043		push     		cmd       		65539     		0
 044		bx       		reg       		21        		0
 045		minus    		cmd       		10        		0
 046		push     		cmd       		65539     		0
 047		dx       		reg       		23        		0
 048		sqrt     		cmd       		9         		0
 049		add      		cmd       		5         		0
 050		push     		cmd       		131075    		0
 051		2        		num       		2         		0
 052		push     		cmd       		65539     		0
 053		ax       		reg       		20        		0
 054		mul      		cmd       		7         		0
 055		div      		cmd       		8         		0
 056		out      		cmd       		2         		0
 057		push     		cmd       		65539     		0
 058		bx       		reg       		21        		0
 059		minus    		cmd       		10        		0
 060		push     		cmd       		65539     		0
 061		dx       		reg       		23        		0
 062		sqrt     		cmd       		9         		0
 063		sub      		cmd       		6         		0
 064		push     		cmd       		131075    		0
 065		2        		num       		2         		0
 066		push     		cmd       		65539     		0
 067		ax       		reg       		20        		0
 068		mul      		cmd       		7         		0
 069		div      		cmd       		8         		0
 070		out      		cmd       		2         		0
 071		hlt      		cmd       		0         		0
 072		push     		cmd       		65539     		0
 073		bx       		reg       		21        		0
 074		push     		cmd       		131075    		0
 075		0        		num       		0         		0
 076		je       		jmp       		31        		0
 077		:NoRoots 		flag      		86        		0
 078		push     		cmd       		65539     		0
 079		cx       		reg       		22        		0
 080		minus    		cmd       		10        		0
 081		push     		cmd       		65539     		0
 082		bx       		reg       		21        		0
 083		div      		cmd       		8         		0
 084		out      		cmd       		2         		0
 085		hlt      		cmd       		0         		0
 086		push     		cmd       		131075    		0
 087		0        		num       		0         		0
 088		push     		cmd       		65539     		0
 089		cx       		reg       		22        		0
 090		je       		jmp       		31        		0
 091		:EndlAmntRoots		flag      		93        		0
 092		hlt      		cmd       		0         		0
 093		push     		cmd       		131075    		0
 094		12345    		num       		12345     		0
 095		out      		cmd       		2         		0
 096		hlt      		cmd       		0         		0
 097		push     		cmd       		65539     		0
 098		bx       		reg       		21        		0
 099		minus    		cmd       		10        		0
 100		push     		cmd       		131075    		0
 101		2        		num       		2         		0
 102		push     		cmd       		65539     		0
 103		ax       		reg       		20        		0
 104		mul      		cmd       		7         		0
 105		div      		cmd       		8         		0
 106		out      		cmd       		2         		0
 107		hlt      		cmd       		0         		0
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
